date,total_volume
2020-09-09,133172508366551880503.000000000
2020-09-08,137314714558172288283.000000000
2020-09-07,163494598332444813289.000000000
2020-09-06,143738548700199562352.000000000
2020-09-05,309124032393770421731.000000000
2020-09-04,381867212935922533167.000000000
2020-09-03,563281510375444263626.000000000
2020-09-02,427680825908948918561.000000000
2020-09-01,426321314353942101475.000000000
2020-08-31,342707165423551499411.000000000
2020-08-30,193888696656714505407.000000000
2020-08-29,123023801351948097519.000000000
2020-08-28,234931910050944318617.000000000
2020-08-27,150677130630623808478.000000000
2020-08-26,129571791413915963730.000000000
2020-08-25,196628592855242048003.000000000
2020-08-24,206760315879067538176.000000000
2020-08-23,168216269252367289810.000000000
2020-08-22,199021663819919042265.000000000
2020-08-21,345755058899956632864.000000000
2020-08-20,108093999094086929158.000000000
2020-08-19,253037428604171156230.000000000
2020-08-18,225138361522550940501.000000000
2020-08-17,220422084119986632256.000000000
2020-08-16,376682710800430852816.000000000
2020-08-15,277132182208530603607.000000000
2020-08-14,277027048028453404272.000000000
2020-08-13,249062279019453706532.000000000
2020-08-12,492406560613666414300.000000000
2020-08-11,377974810256365014230.000000000
2020-08-10,301907767593407628844.000000000
2020-08-09,410386830553500144135.000000000
2020-08-08,563983632377417395495.000000000
2020-08-07,334437099766173888607.000000000
2020-08-06,299405978318452361119.000000000
2020-08-05,179465197039572424062.000000000
2020-08-04,156751094043154088988.000000000
2020-08-03,178161921200947476435.000000000
2020-08-02,295795894392467496730.000000000
2020-08-01,189590089408020688406.000000000
2020-07-31,188276693026174430482.000000000
2020-07-30,434029503507769591269.000000000
2020-07-29,192373413611229249068.000000000
2020-07-28,224198356487148057013.000000000
2020-07-27,328396816636212817982.000000000
2020-07-26,170829747106104156951.000000000
2020-07-25,153187509991542039466.000000000
2020-07-24,182078745675964724319.000000000
2020-07-23,246732796846261822637.000000000
2020-07-22,156688573852737966757.000000000
2020-07-21,146384395740348615974.000000000
2020-07-20,148450490839309109140.000000000
2020-07-19,149206025372625451295.000000000
2020-07-18,153247981789497491860.000000000
2020-07-17,367050870900075355733.000000000
2020-07-16,215130875242968955182.000000000
2020-07-15,89515625792441378310.000000000
2020-07-14,215271824538440354249.000000000
2020-07-13,347532592817327119908.000000000
2020-07-12,94342123714893865201.000000000
2020-07-11,119803409246613245249.000000000
2020-07-10,428756293764235333090.000000000
2020-07-09,261400770488373135731.000000000
2020-07-08,399872416681836366906.000000000
