date,volume
2020-11-07,303983761.72672331
2020-11-06,242798562.631613414
2020-11-05,303442674.524916548
2020-11-04,296346585.295473518
2020-11-03,402769439.193342195
2020-11-02,1109006381.531766016
2020-11-01,244882161.672857715
2020-10-31,346708097.047781663
2020-10-30,2815615209.597167556
2020-10-29,364329171.582349107
2020-10-28,423773254.027979818
2020-10-27,306985717.281148488
2020-10-26,245256657.885404538
2020-10-25,249559449.411241208
2020-10-24,196544670.363629759
2020-10-23,271462552.166017876
2020-10-22,6884356597.314766737
2020-10-21,296223637.010196364
2020-10-20,217128748.314801239
2020-10-19,833914690.815673082
2020-10-18,410091707.244234396
2020-10-17,436383059.928922559
2020-10-16,964664540.876509251
2020-10-15,2346624732.511163499
2020-10-14,3047502696.67057961
2020-10-13,253041816.913365436
2020-10-12,207138772.960647837
2020-10-11,67171284.564186069
2020-10-10,63710885.405206822
2020-10-09,25830794.753488112
2020-10-08,79510818.183502224
2020-10-07,246114009.190927767
2020-10-06,274731350.503325925
2020-10-05,482705449.56046771
2020-10-04,209820604.983891698
2020-10-03,223817872.635549629
2020-10-02,306523662.219506134
2020-10-01,210415769.996836691
2020-09-30,263134001.037667372
2020-09-29,191185696.657893499
2020-09-28,122087894.075469845
2020-09-27,95954334.259719247
2020-09-26,1125516591.490769581
2020-09-25,133132241.196037627
2020-09-24,161854612.155406501
2020-09-23,181324904.017171554
2020-09-22,131899083.682316714
2020-09-21,219395369.426247106
2020-09-20,84944818.859450375
2020-09-19,89247943.327020879
2020-09-18,134429541.114493253
2020-09-17,116135560.076654507
2020-09-16,143868575.191414564
2020-09-15,82846300.36813206
2020-09-14,96059630.622297419
2020-09-13,70057929.161574597
2020-09-12,78501793.347878061
2020-09-11,117964337.46631547
2020-09-10,132343996.255342344
2020-09-09,138192854.376884181
2020-09-08,137334635.992172288
2020-09-07,163519437.396268863
2020-09-06,143756361.134199562
2020-09-05,309141594.827770422
2020-09-04,381885425.369922533
2020-09-03,563299122.809444264
2020-09-02,427699801.128078119
2020-09-01,438374069.873568701
2020-08-31,342725977.857551499
2020-08-30,193908309.090714505
2020-08-29,123041413.785948098
2020-08-28,234953098.430328419
2020-08-27,150706647.294848558
2020-08-26,129589319.649097114
2020-08-25,213846832.701346298
2020-08-24,207187459.782743585
2020-08-23,168234681.68636729
2020-08-22,199039912.242242242
2020-08-21,345789359.221647283
2020-08-20,108113577.913840679
2020-08-19,253055427.953093506
2020-08-18,225176516.956550941
2020-08-17,220440817.949557882
2020-08-16,376701071.939794653
2020-08-15,277150798.711805604
2020-08-14,277049324.835971404
2020-08-13,249080491.453453707
2020-08-12,492425023.047666414
2020-08-11,378024165.790878964
2020-08-10,301926880.027407629
2020-08-09,410405592.987500144
2020-08-08,564002195.387405745
2020-08-07,334455412.200173889
2020-08-06,299424437.160743711
2020-08-05,179484025.173627674
2020-08-04,156774126.477154089
2020-08-03,178182532.634947476
2020-08-02,295816102.826467497
2020-08-01,189610112.688887588
2020-07-31,188297097.49611533
2020-07-30,434347744.610721641
2020-07-29,193937186.045229249
2020-07-28,224995561.355148057
2020-07-27,328660779.070212818
2020-07-26,170847462.214471107
2020-07-25,153206204.544697289
2020-07-24,182096258.109964724
2020-07-23,246750559.280261823
2020-07-22,156707136.286737967
2020-07-21,146401708.174348616
2020-07-20,153968115.273309109
2020-07-19,149224059.806625451
2020-07-18,153265494.223497492
2020-07-17,367719683.334075356
2020-07-16,215170264.710968955
